111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
20.11,73,23.13,99,33.13,117,38.63,95,51.63,103,53.39,89
20.12,98,23.14,105,33.14,124,38.64,97,51.64,110,53.4,97
20.13,86,23.15,109,33.15,126,38.65,98,51.65,112,53.41,94
20.14,89,23.16,90,33.16,121,38.66,92,51.66,123,53.42,92
20.15,79,23.17,113,33.17,118,38.67,108,51.67,106,53.43,91
20.16,81,23.18,103,33.18,120,38.68,110,51.68,95,53.44,82
20.17,69,23.19,85,33.19,120,38.69,100,51.69,98,53.45,94
20.18,94,23.2,89,33.2,137,38.7,88,51.7,108,53.46,103
20.19,91,23.21,89,33.21,140,38.71,92,51.71,87,53.47,108
20.2,71,23.22,96,33.22,136,38.72,112,51.72,91,53.48,92
20.21,96,23.23,76,33.23,129,38.73,131,51.73,102,53.49,89
20.22,81,23.24,76,33.24,121,38.74,111,51.74,115,53.5,85
20.23,85,23.25,88,33.25,125,38.75,111,51.75,110,,
20.24,79,23.26,97,33.26,111,38.76,94,,,,
20.25,74,23.27,95,33.27,105,38.77,88,,,,
20.26,73,23.28,92,33.28,110,38.78,89,,,,
20.27,84,23.29,81,33.29,122,38.79,91,,,,
20.28,78,23.3,94,33.3,120,38.8,94,,,,
20.29,72,23.31,85,33.31,138,38.81,75,,,,
20.3,66,23.32,94,33.32,125,38.82,73,,,,
20.31,84,23.33,95,33.33,123,38.83,96,,,,
20.32,85,23.34,96,33.34,112,38.84,99,,,,
20.33,84,23.35,92,33.35,113,38.85,103,,,,
20.34,82,23.36,100,33.36,113,38.86,100,,,,
20.35,74,23.37,89,33.37,107,38.87,108,,,,
20.36,96,23.38,97,33.38,104,38.88,100,,,,
20.37,88,23.39,100,33.39,102,38.89,90,,,,
20.38,89,23.4,100,33.4,116,38.9,94,,,,
20.39,89,23.41,88,33.41,120,38.91,99,,,,
20.4,81,23.42,74,33.42,124,38.92,99,,,,
20.41,93,23.43,78,33.43,125,38.93,97,,,,
20.42,87,23.44,100,33.44,111,38.94,87,,,,
20.43,94,23.45,106,33.45,110,38.95,87,,,,
20.44,84,23.46,84,33.46,95,38.96,92,,,,
20.45,80,23.47,93,33.47,104,38.97,103,,,,
20.46,75,23.48,101,33.48,102,38.98,97,,,,
20.47,94,23.49,81,33.49,101,38.99,106,,,,
20.48,80,23.5,94,33.5,113,39,101,,,,
20.49,61,,,,,39.01,105,,,,
20.5,84,,,,,39.02,95,,,,
